年度,課題曲,,,自由曲,,,,奈良県大会,,,関西大会,,,指揮者,備考
,主題,副題,作曲者,主題,副題,作曲者,編曲者,日付,賞,会場,日付,賞,会場,,
1966,吹奏楽のための小狂詩曲,,大栗裕,コラール,,ネリベル,,,参加,,,,,野口泰正,
1967,吹奏楽のための《ディヴェルティメント》,,兼田敏,序奏とインヴェンション,,ホエアー,,,1位,,,,,野口泰正,
1968,吹奏楽のための幻想曲《移り気な五度のムード》,,塚原晢夫,ケンジントン序曲,,ホエアー,,,棄権,,,,,野口泰正,
1969,吹奏楽のための音詩《南極点への序曲》,,岩河三郎,交響曲第4番 より IV.,,チャイコフスキー,サフラネク,,1位,,,,,野口泰正,
1970,音楽祭のプレリュード,,A.リード,トッカータとフーガ ニ短調 BWV565,,J.S.バッハ,,,1位,,,,,野口泰正,
1971,行進曲《太陽の下に》,,奥村一,ドラマティコ,,マクベス,,,1位,,,,,野口泰正,
1972,シンフォニック・ファンファーレ,,三沢栄一,トリティコ,,ネリベル,,,1位,,,,,野口泰正,
1973,吹奏楽のためのアラベスク,,名取吾朗,シシリアーノとフィナーレ,,ヴィヴァルディ,,,1位,,,,,野口泰正,
1974,吹奏楽のためのシンフォニア,,小林徹,アレルヤ！ラウダムス・テ,,A.リード,,,1位,,,,,野口泰正,
1975,吹奏楽のための練習曲,,小林徹,アレルヤ！ラウダムス・テ,,A.リード,,,1位,,,,,野口泰正,
1976,カンティレーナ,,保科洋,小組曲,,ドビュッシー,,,1位,,,,,前田昌宏,
1977,ディスコ・キッド,,東海林修,主よ、人の望みの喜びよ BWV147より,,J.S.バッハ,,,1位,,,,,前田昌宏,
1978,ジュビラーテ,,ジェイガー,吹奏楽のための小狂詩曲,,大栗裕,,,1位,,,,,前田昌宏,
1979,フェリスタス,,青木進,シンフォニックバンドのための《パッサカリア》,,兼田敏,,,優良賞,,,銅賞,,野口泰正,
1980,行進曲《オーバー・ザ・ギャラクシー》,,齋藤高順,アルメニアン・ダンス・パートII より ロリの歌,,A.リード,,,1位,,,銀賞,,高岡良一,
1981,東北地方の民謡によるコラージュ,,櫛田胅之扶,二つの交響的断章,,ネリベル,,,1位,,,銅賞,,田中修,
1982,吹奏楽のためのカプリチオ,,吉田公彦,カンツォーネ,,デル＝ボルゴ,,,2位,,,,,裏戸喜久,
1983,吹奏楽のためのインヴェンション第1番,,内藤淳一,第3組曲《バレエの情景》 より I. II. IV.,,A.リード,,,2位,,,,,平瀬良夫,
1984,マーチ・オーパス・ワン,,浦田健次郎,オセロ より1. 前奏曲 3. オセロとデズデモーナ 4. 廷臣たちの入場,,A.リード,,,優秀賞,,,,,秋田智弘,
1985,シンフォニック・ファンファーレとマーチ,,仲本政国,フェスティヴァル・ヴァリエーション,,C.T.スミス,,,2位,,,,,田中修,
1986,コンサート・マーチ「テイク・オフ」,,建部知弘,プレリュードとダンス,,クレストン,,,銀賞,,,,,一ノ瀬欣也,
1987,風紋,,保科洋,交響的断章,,ネリベル,,,金賞,,,銀賞,,松本照,
1988,カーニバルのマーチ,,杉本幸一,呪文と踊り,,チャンス,,,金賞,,,,,松本照,
1989,風と炎の踊り,,小長谷宗一,二つの交響的断章,,ネリベル,,,金賞,,,,,松本照,
