グループ,タイトル,URL
学校,奈良工業高等専門学校,https://www.nara-k.ac.jp
学校,奈良工業高等専門学校機械工学科,http://www.mech.nara-k.ac.jp/
学校,奈良工業高等専門学校電気工学科,http://www.elec.nara-k.ac.jp/
学校,奈良工業高等専門学校電子制御工学科,http://www.ctrl.nara-k.ac.jp/
学校,奈良工業高等専門学校情報工学科,http://www.info.nara-k.ac.jp
学校,奈良工業高等専門学校物質化学工学科,http://www2.chem.nara-k.ac.jp/
高専関連,大阪府立大学工業高等専門学校吹奏楽部,https://opuct-brass-band.jimdo.com/
高専関連,神戸市立工業高等専門学校吹奏楽部,http://www.kcctbrass.net/
高専関連,明石工業高等専門学校吹奏楽部,http://anct-band.sakura.ne.jp/
高専関連,和歌山工業高等専門学校吹奏楽部,https://www.wakayama-nct.ac.jp/gakusei/club.index/wind_orchestra/
高専関連,舞鶴工業高等専門学校吹奏楽部　公式Twitter,https://twitter.com/mnctbrassband?lang=ja
高専関連,近畿大学工業高等専門学校吹奏楽部,https://www.ktc.ac.jp/club/brassband/
高専関連,鈴鹿工業高等専門学校音楽部,http://www.suzuka-ct.ac.jp/studentlife/club/music/
吹奏楽連盟,関西学生吹奏楽連盟,
吹奏楽連盟,奈良県吹奏楽連盟,http://ajba.or.jp/nara/
吹奏楽連盟,関西吹奏楽連盟,http://www.kansaisuiren.jp/
吹奏楽連盟,全日本吹奏楽連盟,http://ajba.or.jp/
その他団体,KCSS,https://sound.jp/kcss/
その他団体,大阪市立大学コンサートバンド,http://concertband.blog111.fc2.com/
